datetime,Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2019-01-02,2019,RegularSeason,1/2/19,8:00 PM ET,Wed,1/2/19 @ 8:00 PM ET,,Final,ORL,112,True,CHI,84,False,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","16, 29, 17, 22","32, 30, 28, 22",2,-104.0,-118.0,1.5,-1.5,-113,-108,199.0,-112.0,-109.0,,,,,102.0,-112.0,2.0,-2.0,-130.0,110.0,200.0,,,,,,,100.0,-121.0,1.5,-1.5,-109.0,-110.0,199.5,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,2019,RegularSeason,1/2/19,10:30 PM ET,Wed,1/2/19 @ 10:30 PM ET,,Final,OKC,107,True,LAL,100,False,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/LAL.png,,,,,,,"Q1, Q2, Q3, Q4","25, 32, 25, 18","25, 34, 19, 29",2,190.0,-240.0,5.5,-5.5,-107,-113,229.0,-112.0,-109.0,,,,,190.0,-210.0,6.0,-6.0,-125.0,105.0,230.5,,,,,,,175.0,-220.0,5.0,-5.0,-109.0,-110.0,229.5,-108.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,2019,RegularSeason,1/2/19,9:00 PM ET,Wed,1/2/19 @ 9:00 PM ET,,Final,PHI,132,True,PHO,127,False,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","32, 17, 38, 40","44, 28, 32, 28",2,160.0,-195.0,4.5,-4.5,-109,-112,227.5,-112.0,-109.0,,,,,150.0,-160.0,3.5,-3.5,-120.0,100.0,229.5,,,,,,,130.0,-159.0,3.0,-3.0,-109.0,-112.0,226.5,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,2019,RegularSeason,1/2/19,8:00 PM ET,Wed,1/2/19 @ 8:00 PM ET,,Final,DET,101,True,MEM,94,False,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/MEM.png,,,,,,,"Q1, Q2, Q3, Q4","24, 31, 12, 27","26, 25, 21, 29",2,-250.0,205.0,-6.0,6.0,-110,-110,198.0,-110.0,-109.0,,,,,-240.0,220.0,-7.0,7.0,-102.0,-118.0,198.5,,,,,,,-278.0,220.0,-6.5,6.5,-110.0,-110.0,198.0,-110.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,2019,RegularSeason,1/2/19,8:00 PM ET,Wed,1/2/19 @ 8:00 PM ET,,Final,MIN,102,False,BOS,115,True,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4","25, 35, 27, 28","21, 21, 39, 21",2,-240.0,190.0,-6.0,6.0,-110,-110,216.0,-112.0,-109.0,,,,,-250.0,230.0,-7.5,7.5,108.0,-128.0,215.5,,,,,,,-250.0,200.0,-6.5,6.5,-107.0,-114.0,214.5,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,2019,RegularSeason,1/2/19,7:30 PM ET,Wed,1/2/19 @ 7:30 PM ET,,Final,NO,121,False,BKN,126,True,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/BKN.png,,,,,,,"Q1, Q2, Q3, Q4","39, 34, 32, 21","29, 29, 29, 34",2,-113.0,-108.0,-1.0,1.0,-108,-113,229.5,-112.0,-109.0,,,,,115.0,-125.0,2.5,-2.5,-118.0,-102.0,230.0,,,,,,,100.0,-121.0,1.5,-1.5,-109.0,-110.0,229.5,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,2019,RegularSeason,1/2/19,7:00 PM ET,Wed,1/2/19 @ 7:00 PM ET,,Final,DAL,122,True,CHA,84,False,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/CHA.png,,,,,,,"Q1, Q2, Q3, Q4","26, 15, 24, 19","42, 23, 29, 28",2,-118.0,-104.0,-1.0,1.0,-112,-108,221.5,-113.0,-108.0,,,,,-117.0,107.0,-2.0,2.0,-102.0,-118.0,222.0,,,,,,,-122.0,100.0,-1.5,1.5,-110.0,-109.0,221.5,-113.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,2019,RegularSeason,1/2/19,7:00 PM ET,Wed,1/2/19 @ 7:00 PM ET,,Final,ATL,98,False,WAS,114,True,/assets/images/nba/logos/ATL.png,/assets/images/nba/logos/WAS.png,,,,,,,"Q1, Q2, Q3, Q4","35, 29, 24, 26","29, 24, 31, 14",2,-265.0,210.0,-6.5,6.5,-110,-110,230.0,-112.0,-109.0,,,,,-240.0,220.0,-6.5,6.5,-102.0,-118.0,230.5,,,,,,,-265.0,210.0,-6.5,6.5,-110.0,-110.0,230.0,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,2019,RegularSeason,1/2/19,7:00 PM ET,Wed,1/2/19 @ 7:00 PM ET,,Final,MIA,117,True,CLE,92,False,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4","23, 20, 30, 19","22, 36, 35, 24",2,195.0,-245.0,5.5,-5.5,-110,-110,202.5,-112.0,-109.0,,,,,210.0,-230.0,6.5,-6.5,-118.0,-102.0,203.0,,,,,,,188.0,-235.0,5.5,-5.5,-113.0,-108.0,203.0,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,2019,RegularSeason,1/3/19,10:30 PM ET,Thu,1/3/19 @ 10:30 PM ET,,F/OT,HOU,135,True,GS,134,False,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4, OT","34, 36, 28, 21, 15","22, 31, 39, 27, 16",2,-385.0,295.0,-8.5,8.5,-109,-112,226.0,-109.0,-112.0,,,,,-340.0,310.0,-9.5,9.5,108.0,-128.0,226.5,,,,,,,-375.0,285.0,-8.0,8.0,-113.0,-107.0,225.5,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
