,Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
0,2022,RegularSeason,1/28/22,7:00 PM ET,Fri,1/28/22 @ 7:00 PM ET,,Final,DET,103,False,ORL,119,True,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/ORL.png,,,,,,,"Q1, Q2, Q3, Q4","39, 28, 25, 27","19, 32, 24, 28",1,-125,105,-1.5,1.5,-110,-110,,,,,,,,-156,131,-3.5,3.5,-112,-110,215.5,-112,-109,,,,,-155,135,-3.5,3.5,-110,-110,217.0,-105,-115,,,,,-154,130,-3.5,3.5,-108,-112,216.5,-110,-110,,,,,-155,130,-3.5,3.5,-112,-109,215.5,-112,-109,,,,,-160,140,-3.5,3.5,-110,-110,216.0,-110,-110,,,,,-160,135,-3.0,3.0,-110,-110,216.5,-105,-115,,,,,-156,130,-3.5,3.5,-110,-110,215.5,-110,-110,,,,,-155,130,-3.5,3.5,-112,-109,215.5,-112,-109,,,,
1,2022,RegularSeason,1/28/22,7:30 PM ET,Fri,1/28/22 @ 7:30 PM ET,,Final,LAL,114,False,CHA,117,True,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/CHA.png,,,,,,,"Q1, Q2, Q3, Q4","31, 34, 22, 30","21, 28, 36, 29",1,-275,230,-7.0,7.0,-110,-110,228.5,-110.0,-110.0,,,,,-455,348,-9.5,9.5,-110,-110,227.0,-108,-113,,,,,-450,340,-9.5,9.5,-110,-110,226.5,-110,-110,,,,,-430,340,-9.5,9.5,-106,-114,226.0,-110,-110,,,,,-455,350,-9.5,9.5,-110,-110,227.0,-108,-113,,,,,-450,350,-9.5,9.5,-110,-110,226.5,-110,-110,,,,,-450,350,-9.0,9.0,-115,-105,226.5,-110,-110,,,,,-400,300,-9.5,9.5,-110,-110,226.5,-110,-110,,,,,-455,350,-9.5,9.5,-110,-110,227.0,-108,-113,,,,
2,2022,RegularSeason,1/28/22,7:30 PM ET,Fri,1/28/22 @ 7:30 PM ET,,Final,BOS,92,False,ATL,108,True,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/ATL.png,,,,,,,"Q1, Q2, Q3, Q4","32, 30, 18, 28","20, 27, 30, 15",1,-140,120,-2.5,2.5,-110,-110,,,,,,,,-129,107,-2.0,2.0,-112,-109,217.5,-112,-109,,,,,-130,110,-2.0,2.0,-110,-110,217.0,-115,-105,,,,,-130,110,-2.0,2.0,-110,-110,217.5,-110,-110,,,,,-129,107,-2.0,2.0,-112,-109,217.5,-112,-109,,,,,-130,110,-2.0,2.0,-110,-110,217.5,-110,-110,,,,,-135,115,-2.0,2.0,-110,-110,217.5,-110,-110,,,,,-139,115,-2.5,2.5,-110,-110,216.5,-110,-110,,,,,-129,107,-2.0,2.0,-112,-109,217.5,-112,-109,,,,
3,2022,RegularSeason,1/28/22,8:00 PM ET,Fri,1/28/22 @ 8:00 PM ET,,Final,DEN,116,True,NO,105,False,/assets/images/nba/logos/DEN.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4","17, 31, 30, 27","26, 24, 36, 30",1,190,-240,5.5,-5.5,-110,-110,215.0,-110.0,-110.0,,,,,141,-167,4.0,-4.0,-109,-112,221.0,-112,-109,,,,,145,-165,4.0,-4.0,-110,-110,221.0,-110,-110,,,,,152,-180,4.0,-4.0,-110,-110,222.0,-112,-108,,,,,143,-167,4.0,-4.0,-109,-112,221.0,-112,-109,,,,,145,-170,4.0,-4.0,-110,-110,221.5,-110,-110,,,,,150,-180,4.5,-4.5,-115,-105,221.5,-105,-115,,,,,140,-167,3.5,-3.5,-110,-110,220.5,-110,-110,,,,,143,-167,4.0,-4.0,-109,-112,221.0,-112,-109,,,,
4,2022,RegularSeason,1/28/22,8:00 PM ET,Fri,1/28/22 @ 8:00 PM ET,,Final,POR,125,True,HOU,110,False,/assets/images/nba/logos/POR.png,/assets/images/nba/logos/HOU.png,,,,,,,"Q1, Q2, Q3, Q4","20, 33, 32, 25","32, 34, 25, 34",1,115,-135,2.0,-2.0,-110,-110,,,,,,,,122,-143,3.0,-3.0,-109,-112,234.0,-112,-109,,,,,130,-150,3.0,-3.0,-110,-110,234.5,-110,-110,,,,,118,-138,2.5,-2.5,-110,-110,234.5,-110,-110,,,,,123,-143,3.0,-3.0,-109,-112,234.0,-112,-109,,,,,125,-145,2.5,-2.5,-110,-110,234.5,-110,-110,,,,,130,-150,3.0,-3.0,-110,-110,234.0,-110,-110,,,,,135,-161,3.5,-3.5,-110,-110,234.5,-110,-110,,,,,123,-143,3.0,-3.0,-109,-112,234.0,-112,-109,,,,
5,2022,RegularSeason,1/28/22,8:00 PM ET,Fri,1/28/22 @ 8:00 PM ET,,Final,LAC,114,False,MIA,121,True,/assets/images/nba/logos/LAC.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","28, 29, 39, 25","19, 26, 35, 34",1,-380,290,-8.0,8.0,-110,-110,,,,,,,,-345,280,-8.5,8.5,-107,-114,209.5,-113,-108,,,,,-320,250,-8.0,8.0,-115,-105,209.5,-110,-110,,,,,-360,290,-8.5,8.5,-110,-110,208.5,-110,-110,,,,,-345,280,-8.5,8.5,-107,-114,209.5,-113,-108,,,,,-400,310,-8.5,8.5,-110,-110,209.0,-110,-110,,,,,-350,280,-8.5,8.5,-110,-110,209.0,-115,-105,,,,,-385,290,-8.5,8.5,-110,-110,209.5,-110,-110,,,,,-345,280,-8.5,8.5,-107,-114,209.5,-113,-108,,,,
6,2022,RegularSeason,1/28/22,8:00 PM ET,Fri,1/28/22 @ 8:00 PM ET,,F/OT,IND,113,True,OKC,110,False,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4, OT","30, 24, 26, 20, 10","29, 22, 22, 27, 13",1,-135,115,-2.0,2.0,-110,-110,216.5,-110.0,-110.0,,,,,107,-129,2.0,-2.0,-110,-112,221.5,-112,-109,,,,,115,-135,2.0,-2.0,-110,-110,221.5,-115,-105,,,,,108,-126,1.5,-1.5,-106,-114,223.0,-110,-110,,,,,107,-129,2.0,-2.0,-110,-112,221.5,-112,-109,,,,,110,-130,2.0,-2.0,-110,-110,222.0,-110,-110,,,,,110,-130,2.0,-2.0,-110,-110,222.5,-110,-110,,,,,100,-120,1.5,-1.5,-110,-110,222.5,-110,-110,,,,,107,-129,2.0,-2.0,-110,-112,221.5,-112,-109,,,,
7,2022,RegularSeason,1/28/22,8:00 PM ET,Fri,1/28/22 @ 8:00 PM ET,,Final,UTA,109,False,MEM,119,True,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/MEM.png,,,,,,,"Q1, Q2, Q3, Q4","31, 28, 29, 31","30, 21, 27, 31",1,-180,155,-4.0,4.0,-110,-110,,,,,,,,-180,148,-4.5,4.5,-112,-109,224.5,-112,-109,,,,,-195,165,-5.0,5.0,-110,-110,226.0,-110,-110,,,,,-205,172,-5.0,5.0,-110,-110,224.5,-110,-110,,,,,-180,148,-4.5,4.5,-112,-109,224.5,-112,-109,,,,,-200,170,-5.0,5.0,-110,-110,225.5,-110,-110,,,,,-200,165,-5.0,5.0,-110,-110,225.0,-115,-105,,,,,-189,155,-4.5,4.5,-110,-110,225.5,-110,-110,,,,,-180,148,-4.5,4.5,-112,-109,224.5,-112,-109,,,,
8,2022,RegularSeason,1/28/22,8:30 PM ET,Fri,1/28/22 @ 8:30 PM ET,,Final,CHI,122,False,SA,131,True,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","29, 34, 35, 33","35, 33, 23, 31",1,115,-135,2.0,-2.0,-110,-110,,,,,,,,-129,107,-2.0,2.0,-112,-110,232.5,-112,-110,,,,,-125,105,-2.0,2.0,-105,-115,232.5,-110,-110,,,,,-126,108,-2.0,2.0,-110,-110,232.0,-110,-110,,,,,-129,107,-2.0,2.0,-112,-110,232.5,-112,-109,,,,,-130,110,-2.0,2.0,-110,-110,232.5,-110,-110,,,,,-130,110,-2.0,2.0,-110,-110,232.0,-110,-110,,,,,-120,100,-1.5,1.5,-115,-105,232.5,-110,-110,,,,,-129,107,-2.0,2.0,-112,-110,232.5,-112,-109,,,,
9,2022,RegularSeason,1/28/22,9:00 PM ET,Fri,1/28/22 @ 9:00 PM ET,,Final,MIN,124,False,PHO,134,True,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","40, 34, 26, 34","32, 34, 27, 31",1,-405,320,-9.0,9.0,-110,-110,,,,,,,,-341,271,-8.0,8.0,-110,-110,228.5,-113,-110,,,,,-350,270,-8.0,8.0,-110,-110,229.0,-115,-105,,,,,-350,280,-8.0,8.0,-110,-110,228.5,-110,-110,,,,,-335,270,-8.0,8.0,-110,-110,228.5,-113,-109,,,,,-350,280,-8.0,8.0,-110,-110,228.5,-110,-110,,,,,-350,260,-8.0,8.0,-110,-110,229.0,-110,-110,,,,,-385,300,-8.5,8.5,-110,-110,228.5,-110,-110,,,,,-335,270,-8.0,8.0,-110,-110,228.5,-113,-109,,,,
