,Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
0,2022,RegularSeason,1/17/22,12:30 PM ET,Mon,1/17/22 @ 12:30 PM ET,,Final,NO,92,False,BOS,104,True,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4","18, 21, 32, 33","29, 17, 23, 23",1,-225.0,185.0,-5.5,5.5,-110,-110,,,,,,,,-178,146,-4.0,4.0,-112,-109,213.5,-112,-110,,,,,-170,150,-4.0,4.0,-115,-105,213.5,-115,-105,,,,,-184,154,-4.5,4.5,-110,-110,214.0,-108,-112,,,,,-175.0,143.0,-4.0,4.0,-112,-109,213.5,-112,-109,,,,,-190,160,-4.5,4.5,-110,-110,213.5,-110,-110,,,,,-180,150,-4.0,4.0,-110,-110,214.0,-105,-115,,,,,-182,150,-4.5,4.5,-110,-110,213.5,-110,-110,,,,,-175.0,143.0,-4.0,4.0,-112,-109,213.5,-112,-109,,,,
1,2022,RegularSeason,1/17/22,1:00 PM ET,Mon,1/17/22 @ 1:00 PM ET,,Final,CHA,97,True,NY,87,False,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/NY.png,,,,,,,"Q1, Q2, Q3, Q4","23, 21, 23, 20","34, 28, 24, 11",1,-135.0,115.0,-1.5,1.5,-110,-110,217.0,-110.0,-110.0,,,,,-133,111,-2.0,2.0,-112,-109,214.5,-112,-110,,,,,-140,120,-2.5,2.5,-115,-105,214.5,-110,-110,,,,,-144,122,-3.0,3.0,-110,-110,214.5,-110,-110,,,,,-129.0,107.0,-2.0,2.0,-112,-109,214.5,-112,-109,,,,,-140,120,-2.5,2.5,-110,-110,214.5,-110,-110,,,,,-140,120,-2.5,2.5,-105,-115,214.5,-110,-110,,,,,-125,105,-1.5,1.5,-110,-110,214.5,-110,-110,,,,,-129.0,107.0,-2.0,2.0,-112,-109,214.5,-112,-109,,,,
2,2022,RegularSeason,1/17/22,2:00 PM ET,Mon,1/17/22 @ 2:00 PM ET,,Final,PHI,98,False,WAS,117,True,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/WAS.png,,,,,,,"Q1, Q2, Q3, Q4","38, 23, 30, 26","29, 26, 28, 15",1,,,2.5,-2.5,-110,-110,,,,,,,,106,-129,2.0,-2.0,-110,-112,221.0,-112,-110,,,,,105,-125,1.5,-1.5,-110,-110,221.0,-110,-110,,,,,114,-134,2.0,-2.0,-110,-110,221.0,-110,-110,,,,,107.0,-129.0,2.0,-2.0,-110,-112,221.0,-112,-109,,,,,105,-125,1.5,-1.5,-110,-110,221.5,-110,-110,,,,,110,-130,2.0,-2.0,-110,-110,221.0,-110,-110,,,,,105,-125,1.5,-1.5,-105,-115,221.5,-110,-110,,,,,107.0,-129.0,2.0,-2.0,-110,-112,221.0,-112,-109,,,,
3,2022,RegularSeason,1/17/22,3:00 PM ET,Mon,1/17/22 @ 3:00 PM ET,,Final,BKN,107,False,CLE,114,True,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4","30, 35, 22, 27","31, 28, 29, 19",1,-135.0,115.0,-2.0,2.0,-110,-110,,,,,,,,-178,149,-4.0,4.0,-113,-109,222.0,-112,-109,,,,,-180,155,-4.0,4.0,-120,100,221.0,-115,-105,,,,,-176,148,-4.0,4.0,-110,-110,221.0,-112,-108,,,,,-177.0,148.0,-4.0,4.0,-113,-108,222.0,-112,-109,,,,,-180,155,-4.0,4.0,-110,-110,222.0,-110,-110,,,,,-180,150,-4.5,4.5,-110,-110,221.5,-105,-115,,,,,-189,155,-4.5,4.5,-110,-110,222.5,-110,-110,,,,,-177.0,148.0,-4.0,4.0,-113,-108,222.0,-112,-109,,,,
4,2022,RegularSeason,1/17/22,3:30 PM ET,Mon,1/17/22 @ 3:30 PM ET,,Final,IND,133,False,LAC,139,True,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","40, 28, 36, 35","27, 32, 31, 43",1,500.0,-720.0,-1.0,1.0,-110,-110,,,,,,,,-137,114,-2.5,2.5,-112,-110,210.5,-112,-109,,,,,-130,110,-2.0,2.0,-110,-110,210.0,-110,-110,,,,,-144,122,-2.5,2.5,-110,-110,211.0,-110,-110,,,,,-136.0,114.0,-2.5,2.5,-112,-109,210.5,-112,-109,,,,,-135,115,-2.0,2.0,-110,-110,210.5,-110,-110,,,,,-135,115,-2.0,2.0,-115,-105,210.0,-110,-110,,,,,-139,115,-2.5,2.5,-110,-110,209.5,-110,-110,,,,,-136.0,114.0,-2.5,2.5,-112,-109,210.5,-112,-109,,,,
5,2022,RegularSeason,1/17/22,3:30 PM ET,Mon,1/17/22 @ 3:30 PM ET,,Final,CHI,106,False,MEM,119,True,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/MEM.png,,,,,,,"Q1, Q2, Q3, Q4","20, 38, 34, 27","20, 25, 27, 34",1,-235.0,194.0,-5.5,5.5,-110,-110,,,,,,,,-375,294,-8.5,8.5,-110,-110,225.0,-112,-109,,,,,-380,290,-8.5,8.5,-115,-105,225.0,-110,-110,,,,,-375,300,-9.0,9.0,-106,-114,225.0,-110,-110,,,,,-375.0,295.0,-8.5,8.5,-110,-110,225.0,-113,-108,,,,,-400,310,-8.5,8.5,-110,-110,225.0,-110,-110,,,,,-375,300,-8.5,8.5,-110,-110,225.0,-110,-110,,,,,-345,275,-8.5,8.5,-110,-110,224.5,-110,-110,,,,,-375.0,295.0,-8.5,8.5,-110,-110,225.0,-113,-108,,,,
6,2022,RegularSeason,1/17/22,6:00 PM ET,Mon,1/17/22 @ 6:00 PM ET,,Final,MIL,114,False,ATL,121,True,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/ATL.png,,,,,,,"Q1, Q2, Q3, Q4","17, 33, 33, 38","26, 36, 26, 26",1,140.0,-160.0,3.5,-3.5,-110,-110,,,,,,,,162,-198,5.0,-5.0,-110,-112,233.5,-112,-109,,,,,160,-190,5.0,-5.0,-110,-110,233.0,-115,-105,,,,,176,-210,5.5,-5.5,-114,-106,233.0,-110,-110,,,,,160.0,-195.0,5.0,-5.0,-110,-112,233.5,-112,-109,,,,,170,-200,5.0,-5.0,-110,-110,233.0,-115,-105,,,,,165,-200,5.0,-5.0,-110,-110,233.0,-110,-110,,,,,170,-208,5.5,-5.5,-110,-110,233.5,-110,-110,,,,,160.0,-195.0,5.0,-5.0,-110,-112,233.5,-112,-109,,,,
7,2022,RegularSeason,1/17/22,7:00 PM ET,Mon,1/17/22 @ 7:00 PM ET,,Final,POR,98,True,ORL,88,False,/assets/images/nba/logos/POR.png,/assets/images/nba/logos/ORL.png,,,,,,,"Q1, Q2, Q3, Q4","17, 23, 21, 27","22, 32, 27, 17",1,-120.0,100.0,-1.0,1.0,-110,-110,,,,,,,,115,-139,2.5,-2.5,-110,-112,218.5,-112,-110,,,,,110,-130,2.0,-2.0,-110,-110,219.0,-110,-110,,,,,120,-134,2.5,-2.5,-112,-108,219.0,-110,-110,,,,,117.0,-141.0,2.5,-2.5,-109,-112,218.5,-112,-109,,,,,110,-130,2.0,-2.0,-110,-110,218.5,-110,-110,,,,,115,-135,2.5,-2.5,-110,-110,219.0,-110,-125,,,,,115,-139,2.5,-2.5,-110,-110,218.5,-110,-110,,,,,117.0,-141.0,2.5,-2.5,-109,-112,218.5,-112,-109,,,,
8,2022,RegularSeason,1/17/22,7:30 PM ET,Mon,1/17/22 @ 7:30 PM ET,,Final,TOR,99,False,MIA,104,True,/assets/images/nba/logos/TOR.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","27, 31, 22, 24","30, 21, 24, 24",1,-160.0,135.0,-3.5,3.5,-110,-110,,,,,,,,-176,144,-4.0,4.0,-110,-110,206.5,-112,-109,,,,,-165,145,-4.0,4.0,-110,-110,207.0,-115,-105,,,,,-176,148,-4.0,4.0,-110,-110,206.5,-110,-110,,,,,-175.0,143.0,-4.0,4.0,-110,-110,206.5,-112,-109,,,,,-180,155,-4.0,4.0,-110,-110,206.5,-110,-110,,,,,-175,145,-4.0,4.0,-115,-105,206.5,-110,-110,,,,,-189,155,-4.5,4.5,-110,-110,207.5,-110,-110,,,,,-175.0,143.0,-4.0,4.0,-110,-110,206.5,-112,-109,,,,
9,2022,RegularSeason,1/17/22,8:30 PM ET,Mon,1/17/22 @ 8:30 PM ET,,Final,OKC,102,False,DAL,104,True,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","33, 20, 24, 27","24, 18, 30, 30",1,-553.0,400.0,-10.5,10.5,-110,-110,,,,,,,,-662,461,-11.0,11.0,-113,-109,211.5,-109,-112,,,,,-720,500,-11.5,11.5,-105,-115,210.5,-115,-105,,,,,-720,520,-11.0,11.0,-114,-106,211.0,-108,-112,,,,,-625.0,440.0,-11.0,11.0,-113,-109,211.5,-109,-112,,,,,-700,475,-11.5,11.5,-110,-110,210.5,-110,-110,,,,,-700,475,-11.0,11.0,-110,-110,210.5,-105,-115,,,,,-714,500,-11.5,11.5,-110,-110,210.5,-110,-110,,,,,-625.0,440.0,-11.0,11.0,-113,-109,211.5,-109,-112,,,,
