Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
2018-19-1016,Boston Celtics,Philadelphia 76ers,208.5,5,-200,170,192,18
2018-19-1016,Golden State Warriors,Oklahoma City Thunder,223.5,11.5,-1100,711,208,8
2018-19-1017,Indiana Pacers,Memphis Grizzlies,209,7,-325,263,194,28
2018-19-1017,Charlotte Bobcats,Milwaukee Bucks,217,1.5,144,-165,225,-1
2018-19-1017,Orlando Magic,Miami Heat,210.5,2,115,-135,205,3
2018-19-1017,Detroit Pistons,Brooklyn Nets,212,4.5,-255,211,203,3
2018-19-1017,New York Knicks,Atlanta Hawks,213.5,3.5,-170,148,233,19
2018-19-1017,Toronto Raptors,Cleveland Cavaliers,214,11.5,-1300,797,220,12
2018-19-1017,Houston Rockets,New Orleans Pelicans,229.5,7.5,-345,278,243,-19
2018-19-1017,San Antonio Spurs,Minnesota Timberwolves,210.5,1,-145,125,220,4
2018-19-1017,Sacramento Kings,Utah Jazz,208,7.5,317,-400,240,-6
2018-19-1017,Phoenix Suns,Dallas Mavericks,215,1,110,-130,221,21
2018-19-1017,Los Angeles Clippers,Denver Nuggets,227,0,105,-125,205,-9
2018-19-1018,Philadelphia 76ers,Chicago Bulls,215,11,-1150,733,235,19
2018-19-1018,Washington Wizards,Miami Heat,212,4,-260,215,225,-1
2018-19-1018,Portland Trail Blazers,Los Angeles Lakers,222,2.5,-155,135,247,9
2018-19-1019,Orlando Magic,Charlotte Bobcats,217,0,105,-125,208,-32
2018-19-1019,Brooklyn Nets,New York Knicks,218.5,3,-170,148,212,2
2018-19-1019,New Orleans Pelicans,Sacramento Kings,228,10.5,-1000,664,278,20
2018-19-1019,Toronto Raptors,Boston Celtics,206,3,-155,135,214,12
2018-19-1019,Minnesota Timberwolves,Cleveland Cavaliers,223.5,8,-425,334,254,8
2018-19-1019,Memphis Grizzlies,Atlanta Hawks,208.5,6.5,-290,237,248,14
2018-19-1019,Milwaukee Bucks,Indiana Pacers,214.5,3,-165,144,219,17
2018-19-1019,Utah Jazz,Golden State Warriors,218,2,115,-135,247,-1
2018-19-1019,Los Angeles Clippers,Oklahoma City Thunder,215.5,1.5,-150,130,200,16
2018-19-1020,Washington Wizards,Toronto Raptors,216.5,1,-130,110,230,-4
2018-19-1020,Indiana Pacers,Brooklyn Nets,210.5,9,-380,303,244,20
2018-19-1020,Philadelphia 76ers,Orlando Magic,217,11.5,-1300,797,231,1
2018-19-1020,New York Knicks,Boston Celtics,211.5,8,384,-500,204,-2
2018-19-1020,Miami Heat,Charlotte Bobcats,216.5,5,-155,135,225,-1
2018-19-1020,Chicago Bulls,Detroit Pistons,214,2.5,170,-200,234,-2
2018-19-1020,Dallas Mavericks,Minnesota Timberwolves,216,2.5,-130,110,276,4
2018-19-1020,Denver Nuggets,Phoenix Suns,223,9,-620,459,210,28
2018-19-1020,Portland Trail Blazers,San Antonio Spurs,213,4,-205,172,229,13
2018-19-1020,Los Angeles Lakers,Houston Rockets,235,2,140,-160,239,-9
2018-19-1021,Cleveland Cavaliers,Atlanta Hawks,226.5,5.5,-380,303,244,-22
2018-19-1021,Oklahoma City Thunder,Sacramento Kings,219.5,8.5,-650,477,251,-11
2018-19-1021,Denver Nuggets,Golden State Warriors,230,3,163,-189,198,2
2018-19-1021,Los Angeles Clippers,Houston Rockets,225,2.5,-135,115,227,3
2018-19-1022,Toronto Raptors,Charlotte Bobcats,221,9,-400,317,233,21
2018-19-1022,Boston Celtics,Orlando Magic,212,12,-894,611,183,-3
2018-19-1022,Minnesota Timberwolves,Indiana Pacers,221.5,2,-130,110,192,10
2018-19-1022,Milwaukee Bucks,New York Knicks,222,10,-900,614,237,11
