key,away_team_x,home_team_x,home_win,money_line_home,money_line_away,Unnamed: 0,home_team_y,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,away_team_y,GP.1,W.1,L.1,W_PCT.1,MIN.1,FGM.1,FGA.1,FG_PCT.1,FG3M.1,FG3A.1,FG3_PCT.1,FTM.1,FTA.1,FT_PCT.1,OREB.1,DREB.1,REB.1,AST.1,TOV.1,STL.1,BLK.1,BLKA.1,PF.1,PFD.1,PTS.1,PLUS_MINUS.1,GP_RANK.1,W_RANK.1,L_RANK.1,W_PCT_RANK.1,MIN_RANK.1,FGM_RANK.1,FGA_RANK.1,FG_PCT_RANK.1,FG3M_RANK.1,FG3A_RANK.1,FG3_PCT_RANK.1,FTM_RANK.1,FTA_RANK.1,FT_PCT_RANK.1,OREB_RANK.1,DREB_RANK.1,REB_RANK.1,AST_RANK.1,TOV_RANK.1,STL_RANK.1,BLK_RANK.1,BLKA_RANK.1,PF_RANK.1,PFD_RANK.1,PTS_RANK.1,PLUS_MINUS_RANK.1,Home-Team-Win,date,away_predict_winprob,home_predict_winprob,datetime
2019-01-02CHIORL,ORL,CHI,False,102.0,-112.0,5,CHI,37,10,27,0.27,48.4,37.9,85.6,0.443,9.3,27.1,0.342,15.3,19.7,0.775,7.6,34.2,41.8,21.5,15.5,7.9,4.8,5.9,20.5,18.5,100.4,-8.9,11,27,27,27,12,29,27,26,29,26,24,29,28,12,29,19,27,26,24,14,21,27,9,30,30,28,2018-19,ORL,36,16,20,0.444,48.3,39.0,88.0,0.444,10.9,31.4,0.349,14.4,18.4,0.78,9.3,33.8,43.0,24.4,14.1,6.8,5.4,4.9,19.9,19.3,103.4,-4.1,19,23,20,24,16,24,20,25,15,15,17,30,30,11,25,21,25,15,9,26,13,14,3,28,27,24,0,2019-01-02,0.43243715,0.5675628,2019-01-02
2019-01-02LALOKC,OKC,LAL,False,190.0,-210.0,8,LAL,37,21,16,0.568,48.1,43.2,90.2,0.479,10.9,31.3,0.348,16.1,23.2,0.692,9.8,36.6,46.4,24.5,15.6,8.1,5.7,5.2,20.1,21.2,113.4,1.9,11,9,10,11,24,3,10,3,16,16,20,24,16,30,19,4,9,13,26,12,6,17,5,17,8,11,2018-19,OKC,36,23,13,0.639,48.0,42.5,92.9,0.457,9.7,30.1,0.322,17.4,24.8,0.703,12.8,35.6,48.4,22.4,14.9,10.6,5.6,4.8,22.6,23.3,112.1,6.5,19,7,5,6,26,6,2,15,24,20,30,17,10,28,1,8,3,24,19,1,8,8,21,4,11,2,0,2019-01-02,0.48478597,0.51521397,2019-01-02
2019-01-02PHOPHI,PHI,PHO,False,150.0,-160.0,7,PHO,38,9,29,0.237,48.8,40.1,87.6,0.457,10.0,29.6,0.337,15.4,19.5,0.788,8.9,32.0,41.0,23.9,16.1,8.8,4.7,4.7,23.4,19.1,105.4,-8.9,2,28,28,28,2,19,22,14,23,21,26,28,29,9,27,27,28,17,28,6,23,7,29,29,26,29,2018-19,PHI,38,24,14,0.632,48.7,41.0,88.1,0.465,11.2,31.9,0.35,21.0,27.2,0.771,10.4,37.2,47.6,26.7,15.6,7.2,5.5,4.2,22.8,23.3,114.1,2.1,2,5,7,7,6,15,19,10,12,13,15,2,3,13,14,3,5,4,25,21,10,3,24,3,6,10,0,2019-01-02,0.18684776,0.81315225,2019-01-02
2019-01-02MEMDET,DET,MEM,False,-240.0,220.0,6,MEM,36,18,18,0.5,48.6,37.6,82.2,0.457,9.5,27.1,0.349,17.2,22.7,0.756,7.6,31.8,39.4,23.1,13.7,9.0,6.1,4.8,22.6,21.9,101.8,-0.6,19,15,14,15,7,30,30,16,26,25,16,19,19,19,30,28,30,20,6,4,2,9,23,13,29,20,2018-19,DET,35,16,19,0.457,48.7,39.1,90.6,0.432,11.0,33.7,0.325,18.2,24.9,0.729,12.4,34.4,46.8,22.2,15.3,6.8,4.1,5.6,23.3,23.0,107.4,-2.4,28,23,18,21,4,23,8,30,14,7,29,14,7,25,2,18,8,25,23,24,28,24,28,5,24,23,0,2019-01-02,0.6666654,0.33333465,2019-01-02
2019-01-02BOSMIN,MIN,BOS,True,-250.0,230.0,4,BOS,36,21,15,0.583,48.6,41.2,90.7,0.454,13.2,36.5,0.362,16.1,20.2,0.797,10.4,34.9,45.4,25.4,13.3,8.7,5.3,3.9,21.2,20.6,111.6,5.6,19,9,8,8,7,14,7,20,3,3,7,23,27,7,15,12,14,8,4,8,15,2,14,20,12,5,2018-19,MIN,37,17,20,0.459,48.3,40.8,90.9,0.449,10.2,28.6,0.358,19.6,24.7,0.793,11.3,33.0,44.3,24.5,13.1,9.2,5.8,5.1,20.1,22.5,111.5,-0.1,11,18,20,20,20,16,6,22,21,24,9,4,11,8,10,25,20,13,3,3,5,16,5,9,13,19,1,2019-01-02,0.7871619,0.21283813,2019-01-02
2019-01-02BKNNO,NO,BKN,True,115.0,-125.0,3,BKN,38,17,21,0.447,48.8,39.8,87.9,0.453,12.2,33.9,0.36,18.8,25.3,0.742,11.4,33.7,45.1,23.5,15.0,6.7,4.0,4.9,22.6,22.0,110.6,-1.2,2,18,23,22,2,20,21,21,4,6,8,9,4,23,7,23,15,19,22,27,29,13,22,12,16,21,2018-19,NO,38,17,21,0.447,48.0,43.4,91.3,0.475,10.1,28.6,0.351,19.3,25.1,0.77,11.6,35.8,47.3,26.9,14.8,7.3,5.4,5.4,22.8,22.3,116.2,0.9,2,18,23,22,26,2,3,6,22,23,13,5,6,14,6,7,6,3,15,19,12,19,25,10,2,15,1,2019-01-02,0.5961773,0.40382266,2019-01-02
2019-01-02CHADAL,DAL,CHA,False,-117.0,107.0,0,CHA,36,18,18,0.5,48.7,41.6,91.2,0.456,11.9,32.9,0.362,18.5,23.3,0.797,9.6,34.6,44.2,24.1,12.5,7.4,5.2,6.7,20.1,21.6,113.7,2.7,19,15,14,15,5,9,4,17,7,11,6,10,15,6,21,17,22,16,2,18,17,30,4,15,7,8,2018-19,DAL,36,17,19,0.472,48.3,39.0,85.7,0.455,11.9,34.0,0.351,20.8,27.7,0.748,10.2,35.3,45.5,22.7,16.3,7.6,4.5,4.4,20.4,25.0,110.6,0.2,19,18,18,19,16,25,26,19,7,5,14,3,2,20,17,9,12,22,29,17,27,6,7,1,17,18,0,2019-01-02,0.5947183,0.4052817,2019-01-02
2019-01-02WASATL,ATL,WAS,True,-240.0,220.0,2,WAS,37,14,23,0.378,48.8,41.5,89.4,0.464,10.8,32.9,0.328,18.8,24.8,0.761,8.9,31.4,40.2,25.1,14.2,8.6,5.3,4.8,22.0,22.8,112.6,-4.8,11,25,25,25,1,10,14,11,18,10,28,6,9,17,28,29,29,10,11,9,14,11,16,7,10,25,2018-19,ATL,36,11,25,0.306,48.1,40.2,89.9,0.447,11.6,34.8,0.334,17.4,23.7,0.735,11.3,33.8,45.1,25.7,18.5,8.8,5.7,5.3,23.9,23.0,109.4,-8.5,19,26,26,26,23,18,11,24,9,4,27,16,13,24,9,21,16,6,30,7,7,18,30,5,20,27,1,2019-01-02,0.58372235,0.41627765,2019-01-02
2019-01-02CLEMIA,MIA,CLE,False,210.0,-230.0,1,CLE,37,8,29,0.216,48.0,38.7,87.3,0.443,8.9,25.6,0.348,16.0,20.4,0.784,11.4,32.2,43.6,19.9,13.6,6.8,2.5,5.6,20.6,19.5,102.3,-9.0,11,30,28,30,26,27,23,27,30,27,21,26,26,10,8,26,24,30,5,25,30,23,11,27,28,30,2018-19,MIA,35,17,18,0.486,48.1,38.9,89.2,0.436,11.9,33.4,0.357,16.9,24.2,0.699,12.4,35.3,47.6,23.0,15.0,7.7,6.1,5.8,22.3,21.7,106.7,0.5,28,18,14,17,22,26,16,28,6,8,10,21,12,29,3,10,4,21,20,16,3,26,20,14,25,17,0,2019-01-02,0.26786503,0.732135,2019-01-02
2019-01-03GSHOU,HOU,GS,False,-340.0,310.0,2,GS,38,25,13,0.658,48.4,42.8,88.7,0.482,12.1,31.6,0.381,18.2,22.2,0.821,9.8,36.2,45.9,27.9,14.7,7.3,6.2,3.6,22.1,20.5,115.8,4.6,6,3,5,5,12,5,17,1,7,14,4,11,21,2,18,5,10,1,14,19,1,1,18,23,3,7,2018-19,HOU,36,21,15,0.583,48.3,38.1,85.2,0.447,14.8,42.6,0.349,18.8,24.8,0.759,11.1,31.1,42.1,21.1,14.4,7.8,5.3,4.8,23.0,20.8,109.9,1.6,26,10,8,9,16,28,28,23,1,1,18,7,9,18,12,30,26,28,13,15,15,9,26,19,19,13,0,2019-01-03,0.6775438,0.32245618,2019-01-03
