datetime,away_predict_winprob,home_predict_winprob,home_team,away_team,home_win,money_line_home_non_michigan,money_line_away_non_michigan
2018-10-31,0.24206422,0.75793576,Brooklyn Nets,Detroit Pistons,1,-130,110
2018-10-31,0.9146136,0.085386425,Chicago Bulls,Denver Nuggets,0,317,-400
2018-10-31,0.25653353,0.7434665,New York Knicks,Indiana Pacers,0,212,-256
2018-10-31,0.038219914,0.96178,Minnesota Timberwolves,Utah Jazz,1,260,-320
2018-10-31,0.006555027,0.99344504,Golden State Warriors,New Orleans Pelicans,1,-502,386
2018-10-31,0.94459414,0.05540583,Phoenix Suns,San Antonio Spurs,0,281,-350
2018-10-31,0.09899669,0.90100324,Los Angeles Lakers,Dallas Mavericks,1,-402,318
2018-11-01,0.63266397,0.36733606,Cleveland Cavaliers,Denver Nuggets,0,185,-230
2018-11-01,0.97118485,0.028815197,Atlanta Hawks,Sacramento Kings,0,115,-135
2018-11-01,0.18966585,0.81033415,Boston Celtics,Milwaukee Bucks,1,-140,120
2018-11-01,0.015195527,0.9848045,Portland Trail Blazers,New Orleans Pelicans,1,-350,275
2018-11-02,0.6998461,0.3001539,Brooklyn Nets,Houston Rockets,0,160,-190
2018-11-02,0.9518169,0.048183065,Washington Wizards,Oklahoma City Thunder,0,-170,145
2018-11-02,0.8487235,0.15127654,Chicago Bulls,Indiana Pacers,0,250,-310
2018-11-02,0.802348,0.197652,Dallas Mavericks,New York Knicks,0,-250,200
2018-11-02,0.94601154,0.053988438,Utah Jazz,Memphis Grizzlies,0,-350,275
2018-11-02,0.85282826,0.14717175,Phoenix Suns,Toronto Raptors,0,450,-650
2018-11-02,0.024497032,0.975503,Golden State Warriors,Minnesota Timberwolves,1,-800,550
2018-11-03,0.09072447,0.90927553,Philadelphia 76ers,Detroit Pistons,1,-350,275
2018-11-03,0.3491456,0.65085447,Indiana Pacers,Boston Celtics,1,142,-165
2018-11-03,0.44922152,0.55077845,Atlanta Hawks,Miami Heat,1,190,-240
2018-11-03,0.8811406,0.11885941,Chicago Bulls,Houston Rockets,0,325,-425
2018-11-03,0.0117677795,0.9882322,San Antonio Spurs,New Orleans Pelicans,1,-125,105
2018-11-03,0.032440722,0.9675592,Denver Nuggets,Utah Jazz,1,-190,160
2018-11-03,0.15427278,0.84572715,Portland Trail Blazers,Los Angeles Lakers,0,-155,135
2018-11-04,0.27759597,0.72240406,Milwaukee Bucks,Sacramento Kings,1,-650,450
2018-11-04,0.5068782,0.49312174,Brooklyn Nets,Philadelphia 76ers,1,150,-180
2018-11-04,0.6345142,0.36548582,Washington Wizards,New York Knicks,1,-300,240
2018-11-04,0.075261354,0.9247387,San Antonio Spurs,Orlando Magic,0,-360,280
2018-11-04,0.8535896,0.14641042,Phoenix Suns,Memphis Grizzlies,1,160,-190
2018-11-04,0.054861955,0.9451381,Portland Trail Blazers,Minnesota Timberwolves,1,-275,225
2018-11-04,0.65301293,0.34698704,Los Angeles Lakers,Toronto Raptors,0,-125,105
2018-11-05,0.61753273,0.38246724,Indiana Pacers,Houston Rockets,0,-110,-110
2018-11-05,0.5166792,0.4833207,Detroit Pistons,Miami Heat,0,-150,130
2018-11-05,0.13078472,0.86921525,Orlando Magic,Cleveland Cavaliers,1,-180,150
2018-11-05,0.08704542,0.91295457,New York Knicks,Chicago Bulls,0,-150,130
2018-11-05,0.0068664984,0.9931335,Oklahoma City Thunder,New Orleans Pelicans,1,-160,140
2018-11-05,0.07041947,0.9295805,Denver Nuggets,Boston Celtics,1,-120,100
