date,team,odds
2019-11-05,Indiana,425
2019-11-05,Charlotte,-600
2019-11-05,Boston,-700
2019-11-05,Cleveland,475
2019-11-05,San Antonio,1800
2019-11-05,Atlanta,-15000
2019-11-05,L.A. Lakers,-15000
2019-11-05,Chicago,1800
2019-12-03,Orlando,-15000
2019-12-03,Washington,1800
2020-01-09,Boston,1800
2020-01-09,Philadelphia,-15000
2020-01-19,Miami,475
2020-01-19,San Antonio,-700
2020-01-23,Dallas,-25000
2020-01-23,Portland,2200
2020-01-31,Toronto,-3000
2020-01-31,Detroit,1425
2020-01-31,Chicago,1600
2020-01-31,Brooklyn,-6600
2020-01-31,Dallas,1600
2020-01-31,Houston,-6600
2020-01-31,Memphis,1800
2020-01-31,New Orleans,-15000
2020-01-31,Oklahoma City,-150
2020-01-31,Phoenix,120
2020-07-31,Orlando,-330
2020-07-31,Brooklyn,265
2020-07-31,Memphis,140
2020-07-31,Portland,-160
2020-07-31,Phoenix,-300
2020-07-31,Washington,240
2020-07-31,Houston,-120
2020-07-31,Dallas,100
2020-08-05,Philadelphia,-600
2020-08-05,Washington,450
2020-08-05,Toronto,-320
2020-08-05,Orlando,260
2020-08-09,Orlando,300
2020-08-09,Boston,-380
2020-08-09,Brooklyn,320
2020-08-09,LA,-400
2020-08-12,Miami,-165
2020-08-12,Oklahoma City,145
2020-08-12,LA,-225
2020-08-12,Denver,185
2020-08-17,Brooklyn,375
2020-08-17,Toronto,-500
2020-08-17,Philadelphia,220
2020-08-17,Boston,-270
2020-08-21,Denver,100
2020-08-21,Utah,-120
2020-09-02,Miami,205
2020-09-02,Milwaukee,-245
2020-09-10,L.A. Lakers,-220
2020-09-10,Houston,180
2020-09-12,Houston,205
2020-09-12,L.A. Lakers,-245
2020-09-13,LA,-380
2020-09-13,Denver,300
2020-09-18,Denver,240
2020-09-18,L.A. Lakers,-300
2020-12-22,LA,115
2020-12-22,L.A. Lakers,-135
2021-01-14,Miami,280
2021-01-14,Philadelphia,-360
2021-01-14,Houston,235
2021-01-14,San Antonio,-290
2021-01-14,Indiana,130
2021-01-14,Portland,-150
2021-01-14,Golden State,160
2021-01-14,Denver,-180
2021-01-20,Dallas,-140
2021-01-20,Indiana,120
2021-01-20,Brooklyn,-550
2021-01-20,Cleveland,425
2021-01-20,Boston,165
2021-01-20,Philadelphia,-185
2021-01-20,Miami,160
2021-01-20,Toronto,-180
2021-01-20,Orlando,-175
2021-01-20,Minnesota,155
2021-01-20,Sacramento,475
2021-01-20,L.A. Clippers,-650
2021-01-20,Memphis,-115
2021-01-20,Portland,-105
2021-01-21,New York,175
2021-01-21,Golden State,-210
2021-01-29,Atlanta,-165
2021-01-29,Washington,145
2021-01-29,Brooklyn,-270
2021-01-29,Oklahoma City,220
2021-01-29,Denver,-180
2021-01-29,San Antonio,160
2021-02-12,Minnesota,130
2021-02-12,Charlotte,-150
2021-02-12,New York,-145
2021-02-12,Washington,125
2021-02-12,New Orleans,130
2021-02-12,Dallas,-150
2021-02-12,San Antonio,115
2021-02-12,Atlanta,-135
2021-02-12,Detroit,240
2021-02-12,Boston,-300
2021-02-12,Oklahoma City,575
2021-02-12,Denver,-850
2021-02-12,Milwaukee,115
2021-02-12,Utah,-135
2021-02-12,Memphis,300
2021-02-12,L.A. Lakers,-380
2021-02-12,Orlando,220
2021-02-12,Sacramento,-270
2021-02-18,Toronto,260
2021-02-18,Milwaukee,-320
2021-02-18,Brooklyn,130
2021-02-18,L.A. Lakers,-150
2021-02-18,Miami,-105
2021-02-18,Sacramento,-115
2021-02-19,Golden State,-220
2021-02-19,Orlando,180
2021-02-19,Denver,-425
2021-02-19,Cleveland,325
2021-02-19,Chicago,210
2021-02-19,Philadelphia,-250
2021-02-19,Atlanta,170
2021-02-19,Boston,-200
2021-02-19,Phoenix,-160
2021-02-19,New Orleans,140
2021-02-19,Oklahoma City,475
2021-02-19,Milwaukee,-650
2021-02-19,Detroit,165
2021-02-19,Memphis,-185
2021-02-19,Utah,-110
2021-02-19,L.A. Clippers,-110
2021-02-21,Boston,-135
2021-02-21,New Orleans,115
2021-02-21,Oklahoma City,-145
2021-02-21,Cleveland,125
2021-02-21,Detroit,135
2021-02-21,Orlando,-155
2021-02-21,Philadelphia,-150
2021-02-21,Toronto,130
2021-02-21,Minnesota,130
2021-02-21,New York,-150
2021-02-21,Denver,-140
2021-02-21,Atlanta,120
2021-02-21,Brooklyn,215
2021-02-21,L.A. Clippers,-260
2021-02-21,Sacramento,425
2021-02-21,Milwaukee,-550
2021-02-22,Chicago,-115
2021-02-22,Houston,-105
2021-02-22,Memphis,155
2021-02-22,Dallas,-175
2021-02-22,Miami,-290
2021-02-22,Oklahoma City,235
2021-02-22,Portland,210
2021-02-22,Phoenix,-250
2021-02-22,Washington,235
2021-02-22,L.A. Lakers,-290
2021-02-23,Atlanta,-350
2021-02-23,Cleveland,275
2021-02-23,Detroit,155
2021-02-23,Orlando,-175
2021-02-23,Golden State,-170
2021-02-23,New York,150
2021-02-23,Philadelphia,-135
2021-02-23,Toronto,115
2021-02-23,Boston,-135
2021-02-23,Dallas,115
2021-02-23,Sacramento,190
2021-02-23,Brooklyn,-230
2021-02-23,Minnesota,450
2021-02-23,Milwaukee,-600
2021-02-23,Portland,200
2021-02-23,Denver,-240
2021-02-23,Washington,550
2021-02-23,L.A. Clippers,-800
